alg,R2,slope
bt,0.2904493232150844,0.9432884041408691
bt,0.2904493232150844,0.9432884041408691
bt,0.2904493232150844,0.9432884041408691
bt,0.9824537258172236,0.96641373934688
bt,0.9824401103838518,0.9832696791799195
bt,0.9824401103838518,0.9832696791799195
bt,0.28548555821616545,0.9418291649060831
bt,0.2892105371018999,0.9462841488026624
bt,0.28548555821616545,0.9418291649060831
bt,0.9824401103838518,0.9832696791799195
bt,0.981895841819315,0.9802346276898333
bt,0.981895841819315,0.9802346276898333
bt,0.9824401103838518,0.9832696791799195
bt,0.9817831223069504,0.9836353716029193
bt,0.9817831223069504,0.9836353716029193
bt,0.9817831223069504,0.9836353716029193
bt,0.9817831223069504,0.9836353716029193
bt,0.9817831223069504,0.9836353716029193
bt,0.9817831223069504,0.9836353716029193
bt,0.2892105371018999,0.9462841488026624
